序号,经度【百度】,纬度【百度】,是否精确,可信度,地址类型,坐标系,错误,0,0
39,114.067849,30.64441307,,18,道路,bd09,,114.05550295902054,30.641041575317463
40,112.0983606,32.0710576,,30,道路,bd09,,112.08581467374597,32.066737421619166
41,121.6421233,31.23022271,,20,道路,bd09,,121.63131535717702,31.226644085892058
42,121.6421233,31.23022271,,20,道路,bd09,,121.63131535717702,31.226644085892058
43,120.4031414,30.21642264,,30,道路,bd09,,120.39204168278575,30.21282179283063
44,119.8492914,29.2228806,,25,乡镇,bd09,,119.83816355217698,29.219861451310457
45,121.3517086,28.68281015,,25,乡镇,bd09,,121.34086256995471,28.679711209581562
46,113.086835,28.24327009,1,80,UNKNOWN,bd09,,113.07440297410221,28.240612752962633
47,117.7266953,39.06883437,,80,UNKNOWN,bd09,,117.71402013356162,39.0615366276163
48,121.497433,31.26535702,,50,道路,bd09,,121.48638228243566,31.26165932724297
49,111.6462209,40.77225067,1,80,工业园区,bd09,,111.63298483812702,40.765186592943515
50,116.5381084,39.79133129,1,80,工业园区,bd09,,116.52583422025559,39.783923018408366
51,116.7176143,39.52861145,,16,区县,bd09,,116.7050177191341,39.52175722926855
52,126.6234316,45.76184448,,16,区县,bd09,,126.61107725845574,45.75367770970219
53,125.4301527,43.78891665,,40,工业园区,bd09,,125.4170815878186,43.78023818695177
54,123.465461,41.80227414,,18,区县,bd09,,123.45292271360468,41.7937232446492
55,123.4316208,41.82604212,,18,区县,bd09,,123.41885470332267,41.817963427064456
56,112.5911604,37.77581521,,30,道路,bd09,,112.57847914520097,37.76923717431254
57,115.8522014,28.71066217,,30,道路,bd09,,115.84068830027866,28.70820797583656
58,115.5754785,28.84862249,,30,道路,bd09,,115.5640535041955,28.845553947686692
59,114.9643914,25.83016714,,40,道路,bd09,,114.95317066931135,25.82695319003662
60,105.7804857,29.48697682,,50,道路,bd09,,105.7702831195459,29.484048631905647
61,105.7804857,29.48697682,,50,道路,bd09,,105.7702831195459,29.484048631905647
62,119.0214837,33.6162953,,12,城市,bd09,,119.00954345516683,33.61159623949424
63,117.2348989,34.25145428,,25,道路,bd09,,117.22275131650355,34.246450562643744
64,120.8244524,32.03734512,,16,区县,bd09,,120.81365889029874,32.03327477308443
65,120.8273485,31.35477079,,40,道路,bd09,,120.81660241402949,31.350632745598695
66,119.0947377,33.60135809,,25,道路,bd09,,119.08253280902542,33.59691300080302
67,120.8244524,32.03734512,,16,区县,bd09,,120.81365889029874,32.03327477308443
68,117.2534571,34.30330167,1,80,工业园区,bd09,,117.24134898743435,34.29825371232031
69,120.3703965,31.55485024,,16,区县,bd09,,120.35931152593227,31.550288115419967
70,118.8527483,31.96618749,,40,道路,bd09,,118.84108482566319,31.962592103872225
71,118.887717,32.10286228,1,80,UNKNOWN,bd09,,118.87613665782808,32.09923911237562
72,120.5628809,31.3507957,,30,道路,bd09,,120.55207064791402,31.34716065738488
73,103.8611718,36.0413272,,40,道路,bd09,,103.85218791684375,36.03598883034231
74,108.9883004,34.39829834,,30,商圈,bd09,,108.97704738117139,34.39359481599575
75,108.3050561,22.87832357,,30,道路,bd09,,108.29454626925215,22.875434494599823
76,108.3050561,22.87832357,,30,道路,bd09,,108.29454626925215,22.875434494599823
77,116.1163634,39.94131516,,80,购物,bd09,,116.1034581161606,39.934228781297264
78,106.7205276,26.57433618,,16,区县,bd09,,106.71022721716676,26.571920529905224
79,118.1034349,24.58201906,,16,区县,bd09,,118.09201787202716,24.578454993674033
80,102.7504817,25.02119642,,16,区县,bd09,,102.74251636195459,25.018050002033736
81,113.0865622,22.58364759,,40,道路,bd09,,113.07456484495214,22.580507556487845
82,113.9038618,22.92850459,,25,旅游景点,bd09,,113.89250853965024,22.9252426137007
83,113.2794331,23.16431683,,16,区县,bd09,,113.26766093019104,23.160659576635
84,116.8070349,39.6659064,,18,乡镇,bd09,,116.79445142461468,39.65893024436588
85,116.6315758,40.16702886,1,80,道路,bd09,,116.61933407746862,40.15971653103964
86,116.6214416,40.18408447,1,80,工业园区,bd09,,116.60915845761257,40.17693841758351
87,117.1414027,39.23034391,,16,区县,bd09,,117.12857250742294,39.222895775929956
88,114.6944008,38.04415152,,50,工业园区,bd09,,114.68197424302296,38.03758615425691
89,115.6624795,39.02471258,,16,区县,bd09,,115.64998982006857,39.01783467999789
90,116.6864644,39.60123498,1,80,道路,bd09,,116.67399784867351,39.59430193969437
91,117.2212776,36.79598985,,75,交叉路口,bd09,,117.20880975865025,36.789536097682934
92,117.3343166,36.68991911,,50,UNKNOWN,bd09,,117.32169371640063,36.683591970455325
93,120.2945728,36.37011947,1,80,道路,bd09,,120.28293910846764,36.364206099262354
94,119.230989,36.67240393,1,80,工业园区,bd09,,119.21863633084257,36.66643537783147
95,112.3645576,37.61306684,,16,区县,bd09,,112.35138655232542,37.60638307113667
96,123.3286116,41.6366677,,30,道路,bd09,,123.31612511878886,41.62849783836702
97,121.5585941,39.00784525,1,80,道路,bd09,,121.54718271101825,39.000641592639354
98,120.9995398,37.66201683,,75,交叉路口,bd09,,120.98807278614608,37.655249693010084
99,120.4545611,31.48798992,,25,乡镇,bd09,,120.44341960236271,31.483836692974926
100,120.5730236,29.92509813,,30,村庄,bd09,,120.56239591570777,29.921781980860896
101,120.8407295,27.87788088,,25,道路,bd09,,120.83031124652594,27.874852335650882
102,118.7991923,31.77231036,1,80,道路,bd09,,118.78763629306331,31.7679935412609
103,120.5339608,30.18588539,,30,道路,bd09,,120.52316634533008,30.182707124761887
104,119.1162805,33.60802845,1,80,道路,bd09,,119.10406205351505,33.60359926313347
105,120.0790831,30.87592772,,50,道路,bd09,,120.06762264818214,30.87227762533417
106,120.8494928,31.61991943,1,80,道路,bd09,,120.83882825599899,31.615616391668986
107,119.8362718,31.71044049,1,80,道路,bd09,,119.82482878140199,31.706799424157328
108,120.452132,30.21008912,1,75,工业园区,bd09,,120.44111499078676,30.20648799437645
109,120.5195683,30.23979085,1,80,UNKNOWN,bd09,,120.50878096340912,30.23634205105045
110,121.534234,31.06646012,1,80,道路,bd09,,121.52341976890098,31.062696130230943
111,117.2184236,31.71905444,1,80,道路,bd09,,117.20642930422115,31.714981688886823
112,118.9207727,31.94579935,1,80,道路,bd09,,118.90933023053466,31.941643266745615
113,118.9575303,31.88545951,,80,道路,bd09,,118.9459671100672,31.88160917758997
114,120.8508155,31.61873105,1,80,道路,bd09,,120.84015135315848,31.614434864127215
115,120.2763013,30.19736527,1,80,工业园区,bd09,,120.26535011142967,30.193815372549363
116,121.2712781,31.19204377,1,80,道路,bd09,,121.26027183028613,31.188439010789715
117,120.5195683,30.23979085,1,80,UNKNOWN,bd09,,120.50878096340912,30.23634205105045
118,121.0589167,31.98316464,,30,村庄,bd09,,121.04780597819071,31.978961608204624
119,121.5288395,29.80212746,,60,道路,bd09,,121.51805157261239,29.798786369104857
120,120.5846027,31.73340248,,30,村庄,bd09,,120.57390941503803,31.7293706684595
121,120.2648901,30.46303905,,30,道路,bd09,,120.25397430505937,30.459257413706375
122,121.0912346,30.94862753,1,80,道路,bd09,,121.08025481429688,30.944281600280462
123,121.449408,28.67925822,,14,区县,bd09,,121.4386042553599,28.675869601372334
124,121.4356006,31.07506457,1,80,道路,bd09,,121.4245716304143,31.070696466025154
125,116.5454384,31.75628772,,14,区县,bd09,,116.53397457551333,31.752217366202817
126,113.5423839,23.1372546,1,80,道路,bd09,,113.53076335111437,23.133809306586905
127,113.5418984,23.14208111,1,80,道路,bd09,,113.53027642316403,23.13862615674636
128,113.364626,23.47357802,,50,道路,bd09,,113.3525817856709,23.470221013714525
129,114.0314658,22.74503269,,60,工业园区,bd09,,114.01991415518837,22.741700042017403
130,114.0314658,22.74503269,,60,工业园区,bd09,,114.01991415518837,22.741700042017403
131,113.8365114,22.69105986,1,80,工业园区,bd09,,113.82493014044255,22.68829835960346
132,113.8362185,22.63696915,1,80,道路,bd09,,113.82465539276433,22.634224293419123
133,113.6144193,22.86418315,,50,道路,bd09,,113.60285372583594,22.861194805438224
134,113.9858196,23.10411173,,25,道路,bd09,,113.97437068367351,23.100700163055887
135,113.9858196,23.10411173,,25,道路,bd09,,113.97437068367351,23.100700163055887
136,113.7230203,22.96851102,1,80,工业园区,bd09,,113.71127314018185,22.965497573235762
137,113.8597032,23.04119655,,50,道路,bd09,,113.84824071030292,23.037996063765945
138,113.8092535,22.93235936,,50,道路,bd09,,113.79760051783705,22.92938014911848
139,113.2249205,23.00846789,,60,UNKNOWN,bd09,,113.21303815586379,23.005525929672203
140,113.4544186,22.67958479,1,70,工业园区,bd09,,113.44243257652698,22.67657318269596
141,114.3608182,23.03017048,,40,工业园区,bd09,,114.34945017854709,23.02642003601892
142,118.0316009,24.60443581,1,80,地产小区,bd09,,118.0201362277316,24.601547301450577
143,118.5783239,24.88830903,,30,村庄,bd09,,118.56740666659991,24.88500731620228
144,119.0928385,25.37405355,,30,村庄,bd09,,119.08135971833826,25.37092672189292
145,108.3110054,22.77171204,1,80,道路,bd09,,108.30050071533786,22.768844867554282
146,115.884859,28.80705301,,50,道路,bd09,,115.87343632090543,28.804529182312212
147,114.4615828,22.98219038,1,80,UNKNOWN,bd09,,114.45021540883656,22.97871212389102
148,119.2015901,26.13424654,,30,村庄,bd09,,119.19026302171933,26.131469692335425
149,114.1056647,30.62728294,,50,道路,bd09,,114.09344854923096,30.623389000793196
150,114.031832,30.67202057,,75,交叉路口,bd09,,114.01968681069314,30.66830053301174
151,114.0200624,30.57021331,,30,村庄,bd09,,114.00801567603344,30.566395138481955
152,103.9802815,30.56494897,1,80,道路,bd09,,103.97150239307862,30.561949516381926
153,106.6326989,29.74659202,1,80,工业园区,bd09,,106.62239638408384,29.743734676530707
154,113.3045019,34.82062305,,30,道路,bd09,,113.29167543763259,34.815328243027125
155,112.9454732,28.2348894,,12,城市,bd09,,112.93354980571283,28.2322068813016
156,108.9464656,34.34726882,,12,城市,bd09,,108.93534371037785,34.34265593840295
157,106.9461561,26.54341683,,16,乡镇,bd09,,106.93589683852035,26.540889978019003
158,87.43450671,43.88265302,,16,区县,bd09,,87.42459207123892,43.87538215902743
159,102.7504817,25.02119642,,16,区县,bd09,,102.74251636195459,25.018050002033736
160,104.0056189,35.95928026,,18,乡镇,bd09,,103.99651456793958,35.9536977941099
161,121.6888336,30.99080981,1,80,道路,bd09,,121.67811750310364,30.986667052941108
162,121.2644159,31.20597979,1,80,道路,bd09,,121.25339734896788,31.202376985693213
163,121.2200338,31.22659225,,75,道路,bd09,,121.20913987142025,31.222315480622427
164,120.4661301,30.25086727,,80,商务大厦,bd09,,120.4551918804123,30.247031010831247
165,120.2009695,30.32563319,1,80,道路,bd09,,120.18983711442547,30.3222949458895
166,119.8795966,29.21454665,,30,道路,bd09,,119.86865411227745,29.211109269823908
167,120.8194676,27.93865224,,16,区县,bd09,,120.80897278296361,27.93589287714077
168,119.8920244,32.30726899,,30,道路,bd09,,119.88084947231516,32.303154481306834
169,120.8480452,32.0796863,1,80,道路,bd09,,120.8373283667152,32.075447255443834
170,120.9839494,32.08339588,,30,村庄,bd09,,120.97311650684928,32.07924234107675
171,119.19093,33.42987812,,60,UNKNOWN,bd09,,119.17898263365858,33.425227762383535
172,117.4754006,31.89389035,,14,区县,bd09,,117.46334688764631,31.88952978776323
173,118.4818875,31.3835671,1,80,UNKNOWN,bd09,,118.47009166222044,31.379600237968955
174,115.9717257,28.82131561,,30,村庄,bd09,,115.96023052298179,28.8187531462057
175,117.3535484,39.12917124,,50,道路,bd09,,117.34065870479779,39.12177611766222
176,113.9119002,34.70497157,,80,道路,bd09,,113.8995657422731,34.70012422724669
177,114.2714473,30.80548153,,50,工业园区,bd09,,114.25955660209995,30.801757163252105
178,103.975503,30.56091482,1,80,道路,bd09,,103.96674718385154,30.557894971687563
179,125.4770788,43.86928764,,25,乡镇,bd09,,125.46395464268599,43.86117904870984
180,122.0035604,41.24826368,,12,区县,bd09,,121.99169829400294,41.240490754280295
181,108.7216054,34.46442077,,25,乡镇,bd09,,108.71049382795968,34.45946272919049
182,117.2041039,36.79600191,,50,道路,bd09,,117.19151936605654,36.78982277371671
183,113.6214196,22.85899865,,50,道路,bd09,,113.60987270769984,22.85588340791869
184,113.2929787,23.457211,1,80,道路,bd09,,113.28116137541079,23.453457647331852
185,120.0079137,35.85449303,,30,道路,bd09,,119.99633147369744,35.848099332099025
186,113.3260252,23.44201143,1,80,道路,bd09,,113.31403957383763,23.43868670360251
187,113.9323021,34.73049284,,40,道路,bd09,,113.9198665442234,34.72594181564906
188,113.9904135,33.57842326,,16,区县,bd09,,113.97816581836544,33.57378993943873
189,120.3764683,30.29934412,,75,UNKNOWN,bd09,,120.36545351304797,30.295314367447627
190,126.0682267,44.99397528,1,80,工业园区,bd09,,126.0551193917313,44.98614161081311
191,113.7531993,34.87692631,1,80,生活服务,bd09,,113.74059215133134,34.871549303758485
192,117.0146426,40.06125243,,40,UNKNOWN,bd09,,117.00198447081989,40.0536747610615
193,114.0398279,30.65270478,,16,道路,bd09,,114.02760941467575,30.649109090572257
194,113.4346343,23.14077887,1,80,道路,bd09,,113.42265441792182,23.13725651360043
195,121.8505762,29.90465936,,16,区县,bd09,,121.83990766266527,29.90146794110469
196,113.9225101,30.93068923,,12,城市,bd09,,113.91051594055043,30.927279665350518
197,120.8300339,31.32165946,,40,工业园区,bd09,,120.81933061276543,31.317503581854872
198,118.5584305,24.78782458,,16,区县,bd09,,118.54750791124597,24.784472262140532
199,113.9336005,35.30963993,,12,城市,bd09,,113.92109433660585,35.3044854938295
200,116.6634154,39.91601712,,14,区县,bd09,,116.65111446569892,39.90869582515103
201,114.0511961,22.71050657,,25,乡镇,bd09,,114.03952442888179,22.70745737407966
202,103.5342402,31.04615309,1,80,地产小区,bd09,,103.52564171687965,31.042660673652712
203,115.5800637,38.87742791,,40,道路,bd09,,115.5677075022569,38.870539455112784
204,114.067849,30.64441307,,18,道路,bd09,,114.05550295902054,30.641041575317463
205,112.0983606,32.0710576,,30,道路,bd09,,112.08581467374597,32.066737421619166
206,121.6421233,31.23022271,,20,道路,bd09,,121.63131535717702,31.226644085892058
207,121.6421233,31.23022271,,20,道路,bd09,,121.63131535717702,31.226644085892058
208,120.4031414,30.21642264,,30,道路,bd09,,120.39204168278575,30.21282179283063
209,119.8492914,29.2228806,,25,乡镇,bd09,,119.83816355217698,29.219861451310457
210,121.3517086,28.68281015,,25,乡镇,bd09,,121.34086256995471,28.679711209581562
211,113.086835,28.24327009,1,80,UNKNOWN,bd09,,113.07440297410221,28.240612752962633
212,117.7266953,39.06883437,,80,UNKNOWN,bd09,,117.71402013356162,39.0615366276163
213,121.497433,31.26535702,,50,道路,bd09,,121.48638228243566,31.26165932724297
214,111.6462209,40.77225067,1,80,工业园区,bd09,,111.63298483812702,40.765186592943515
215,116.5381084,39.79133129,1,80,工业园区,bd09,,116.52583422025559,39.783923018408366
216,116.7176143,39.52861145,,16,区县,bd09,,116.7050177191341,39.52175722926855
217,126.6234316,45.76184448,,16,区县,bd09,,126.61107725845574,45.75367770970219
218,125.4301527,43.78891665,,40,工业园区,bd09,,125.4170815878186,43.78023818695177
219,123.465461,41.80227414,,18,区县,bd09,,123.45292271360468,41.7937232446492
220,123.4316208,41.82604212,,18,区县,bd09,,123.41885470332267,41.817963427064456
221,112.5911604,37.77581521,,30,道路,bd09,,112.57847914520097,37.76923717431254
222,115.8522014,28.71066217,,30,道路,bd09,,115.84068830027866,28.70820797583656
223,115.5754785,28.84862249,,30,道路,bd09,,115.5640535041955,28.845553947686692
224,114.9643914,25.83016714,,40,道路,bd09,,114.95317066931135,25.82695319003662
225,105.7804857,29.48697682,,50,道路,bd09,,105.7702831195459,29.484048631905647
226,105.7804857,29.48697682,,50,道路,bd09,,105.7702831195459,29.484048631905647
227,119.0214837,33.6162953,,12,城市,bd09,,119.00954345516683,33.61159623949424
228,117.2348989,34.25145428,,25,道路,bd09,,117.22275131650355,34.246450562643744
229,120.8244524,32.03734512,,16,区县,bd09,,120.81365889029874,32.03327477308443
230,120.8273485,31.35477079,,40,道路,bd09,,120.81660241402949,31.350632745598695
231,119.0947377,33.60135809,,25,道路,bd09,,119.08253280902542,33.59691300080302
232,120.8244524,32.03734512,,16,区县,bd09,,120.81365889029874,32.03327477308443
233,117.2534571,34.30330167,1,80,工业园区,bd09,,117.24134898743435,34.29825371232031
234,120.3703965,31.55485024,,16,区县,bd09,,120.35931152593227,31.550288115419967
235,118.8527483,31.96618749,,40,道路,bd09,,118.84108482566319,31.962592103872225
236,118.887717,32.10286228,1,80,UNKNOWN,bd09,,118.87613665782808,32.09923911237562
237,120.5628809,31.3507957,,30,道路,bd09,,120.55207064791402,31.34716065738488
238,103.8611718,36.0413272,,40,道路,bd09,,103.85218791684375,36.03598883034231
239,108.9883004,34.39829834,,30,商圈,bd09,,108.97704738117139,34.39359481599575
240,108.3050561,22.87832357,,30,道路,bd09,,108.29454626925215,22.875434494599823
241,108.3050561,22.87832357,,30,道路,bd09,,108.29454626925215,22.875434494599823
242,116.1163634,39.94131516,,80,购物,bd09,,116.1034581161606,39.934228781297264
243,106.7205276,26.57433618,,16,区县,bd09,,106.71022721716676,26.571920529905224
244,118.1034349,24.58201906,,16,区县,bd09,,118.09201787202716,24.578454993674033
245,102.7504817,25.02119642,,16,区县,bd09,,102.74251636195459,25.018050002033736
246,113.0865622,22.58364759,,40,道路,bd09,,113.07456484495214,22.580507556487845
247,113.9038618,22.92850459,,25,旅游景点,bd09,,113.89250853965024,22.9252426137007
248,113.2794331,23.16431683,,16,区县,bd09,,113.26766093019104,23.160659576635
249,113.9773648,22.84426879,,40,道路,bd09,,113.96590672200882,22.84113127632601
250,121.6356471,31.33786135,1,80,道路,bd09,,121.62482636582695,31.334322762438397
251,121.5533881,30.13430228,,30,道路,bd09,,121.54276343368166,30.130589092960793
252,106.4462331,29.50215423,,40,村庄,bd09,,106.43584554036474,29.498425542001964
253,101.5134157,29.0064319,,12,区县,bd09,,101.50534350697897,29.003355972948665
254,113.979559,22.3964529,1,80,道路,bd09,,113.96816024324262,22.393341526253376
255,110.2783809,40.6782994,,16,区县,bd09,,110.26610689688695,40.67070673202117
256,126.6894147,45.61860611,1,80,道路,bd09,,126.67679554836525,45.61068258236447
257,111.6535431,40.86156478,1,80,UNKNOWN,bd09,,111.64021998483035,40.85450776556345
258,117.2137351,36.77647159,,25,道路,bd09,,117.20119868948319,36.77015304752875
259,118.4994605,36.76253468,,30,道路,bd09,,118.48709358172329,36.7564891369765
260,116.788369,39.51587279,,18,地产小区,bd09,,116.77587305305399,39.50857380883856
261,114.6965611,38.01115539,,30,村庄,bd09,,114.6841629199123,38.00454567045512
262,112.6446184,37.69921193,1,80,UNKNOWN,bd09,,112.63177204210092,37.69287979712294
263,117.1414027,39.23034391,,16,区县,bd09,,117.12857250742294,39.222895775929956
264,117.33078,39.29771459,,18,乡镇,bd09,,117.31780025113338,39.29064266224774
265,121.2067538,37.55920345,1,80,工业园区,bd09,,121.19529562953014,37.551952495734
266,120.2960921,36.36899777,,50,生活服务,bd09,,120.28445346568016,36.3630989330587
267,125.4829857,44.11724058,1,80,UNKNOWN,bd09,,125.46987818717928,44.10922366389886
268,116.575911,40.07402989,1,80,道路,bd09,,116.56349831697902,40.0672674015288
269,123.566278,41.74343089,1,80,村庄,bd09,,123.55398974417338,41.73551661524381
270,121.5585941,39.00784525,1,80,道路,bd09,,121.54718271101825,39.000641592639354
271,114.0220838,30.65959527,,30,道路,bd09,,114.00999265481879,30.655753757742943
272,103.9802366,30.55618207,1,80,道路,bd09,,103.97145181805173,30.553183652552757
273,106.6788564,29.83847851,,18,乡镇,bd09,,106.66859529866795,29.834935598293047
274,109.021666,34.48581519,,40,道路,bd09,,109.01009261868974,34.481402038696174
275,113.720699,34.7437785,1,80,生活服务,bd09,,113.70794447628678,34.739072246046554
276,112.2083882,31.05842927,,14,区县,bd09,,112.19617611178855,31.054309136125564
277,106.7074982,26.49302712,,40,道路,bd09,,106.69731415394727,26.4904082812185
278,112.6579313,26.82803809,,60,村庄,bd09,,112.64615372199627,26.825573208205473
279,102.8840067,25.05190732,,25,乡镇,bd09,,102.87612451164794,25.049147798672518
280,103.9802961,36.0034173,,60,生活服务,bd09,,103.97123217933705,35.99802331404385
281,114.1373393,33.58740312,1,80,道路,bd09,,114.12496843174944,33.582490927878275
282,87.47257999,43.82315205,1,70,道路,bd09,,87.4629500900353,43.815468803584565
283,113.1010972,28.22416868,1,80,道路,bd09,,113.08861990396942,28.22165609343587
284,119.9804632,31.78557027,,16,区县,bd09,,119.96925254752746,31.78153655194109
285,120.3589494,30.27865254,,30,道路,bd09,,120.3479478904717,30.27462750108534
286,120.7254867,30.6520901,,18,乡镇,bd09,,120.71477250521497,30.64809109187565
287,119.7719063,29.05971373,,40,道路,bd09,,119.76070342339459,29.056226714093274
288,118.6210075,31.90976051,,40,道路,bd09,,118.60942883313518,31.906289219323387
289,,,,,,,Request Parameter Error:address length too long,0,0
290,121.3426173,31.29148535,1,80,道路,bd09,,121.33163237344934,31.28713615318397
291,120.6168052,30.08799532,,40,工业园区,bd09,,120.60632621884575,30.084327698735667
292,119.0253247,33.48864247,,16,区县,bd09,,119.01340930544252,33.48392142386604
293,120.6554186,31.15530545,,25,乡镇,bd09,,120.64464512161621,31.15181842080531
294,,,,,,,Request Parameter Error:address length too long,0,0
295,118.4932424,31.37975078,,50,生活服务,bd09,,118.48143712102484,31.375990560729107
296,120.8290291,27.88452223,1,70,道路,bd09,,120.81855897926975,27.88159808783071
297,120.4613436,31.5085804,,75,交叉路口,bd09,,120.45027186026581,31.50431561093361
298,108.3570197,22.71693996,1,80,道路,bd09,,108.34651935645142,22.713394251810485
299,113.2213484,23.00482282,,60,工业园区,bd09,,113.20946276244425,23.001866767729133
300,,,,,,,Request Parameter Error:address length too long,0,0
301,112.9867598,22.61308348,,50,UNKNOWN,bd09,,112.9750134953947,22.61034635577549
302,113.8730938,22.98971149,,50,道路,bd09,,113.86170554698302,22.986349385974783
303,113.469111,22.68655411,1,80,道路,bd09,,113.45714282422982,22.683634782993373
304,114.4615828,22.98219038,1,80,UNKNOWN,bd09,,114.45021540883656,22.97871212389102
305,113.8108063,22.67568602,,30,村庄,bd09,,113.79918663438235,22.672821108711947
306,114.8772804,25.87962286,,30,村庄,bd09,,114.86607337623838,25.876854370865836
307,,,,,,,Request Parameter Error:address length too long,0,0
308,119.2048135,26.13560515,,30,道路,bd09,,119.19347996384786,26.132891153031924
309,116.7991693,23.39072337,,20,乡镇,bd09,,116.78811601213255,23.38738237384895
310,103.9831124,30.56249774,1,80,道路,bd09,,103.97431898138981,30.559502333148377
311,104.0363639,30.62086349,1,80,道路,bd09,,104.02751873944682,30.61710560331824
312,114.067849,30.64441307,,18,道路,bd09,,114.05550295902054,30.641041575317463
313,113.3108904,23.43988977,1,80,UNKNOWN,bd09,,113.29898803712945,23.436331353034394
314,116.6182141,39.74393425,,18,乡镇,bd09,,116.6059354743817,39.73686718007505
315,120.3597261,36.27058454,,30,道路,bd09,,120.34818362650854,36.263952847435604
316,123.2271477,41.72480296,1,70,道路,bd09,,123.21492781478389,41.71634558299182
317,117.2234295,36.79787214,,40,道路,bd09,,117.2109770511986,36.79138240254883
318,120.5015112,30.17982376,1,75,道路,bd09,,120.49072568706623,30.176007964138535
319,121.2765289,31.30945836,1,80,道路,bd09,,121.2655193372521,31.30576048169016
320,118.8396036,31.77888847,1,80,道路,bd09,,118.82802268493303,31.775031320090527
321,113.712714,23.17374801,,30,村庄,bd09,,113.70094910884245,23.17076586748177
322,113.2049086,23.09634767,1,80,道路,bd09,,113.19300478389626,23.0931410239264
323,118.1383899,24.69391848,1,80,工业园区,bd09,,118.12689286952636,24.69092613816119
324,114.0657925,22.67263377,1,80,道路,bd09,,114.05411357559865,22.669674890874862
325,109.2218945,34.65858017,1,75,道路,bd09,,109.21040911035045,34.65351945684945
326,103.9802815,30.56494897,1,80,道路,bd09,,103.97150239307862,30.561949516381926
327,114.0421161,30.66977272,,50,工业园区,bd09,,114.0298965593807,30.666207777497117
328,113.835476,34.54318791,,40,UNKNOWN,bd09,,113.82290984889136,34.53878670216922
329,125.4141524,44.03105497,,40,道路,bd09,,125.40110570385303,44.02228264386787
330,125.4141524,44.03105497,,40,道路,bd09,,125.40110570385303,44.02228264386787
331,123.5383799,41.74945801,1,80,道路,bd09,,123.52596261265045,41.741630474962356
332,123.5728014,41.92014109,1,80,道路,bd09,,123.56050493880184,41.91210490491899
